"Time","yvCurve-UST 0.4.3","yvCurve-HUSD 0.3.5","yvCurve-EURT 0.4.3","yvCurve-ankrETH 0.3.5","yvCurve-CVXETH 0.4.3","yvCurve-d3pool 0.4.3","yvDAI 0.3.0","yvCurve-UST 0.3.5","yvCurve-ibAUD 0.4.3","yvCurve-tBTC 0.3.5","yvCurve-EURS 0.3.5","yvCurve-IronBank 0.3.2","yvCurve-USDT 0.3.5","yvCurve-RAI 0.4.3","yvCurve-MIM 0.4.3","yvCurve-GUSD 0.3.5","yvCurve-DUSD 0.3.5","yvLUSD 0.4.3","yvCurve-Aave 0.3.5","yvCurve-USDN 0.3.5","yvCurve-USDK 0.3.5","yvCurve-triCrypto 0.4.2","yvCurve-pBTC 0.3.5","yvCurve-cvxCRV 0.4.3","yvCurve-ibCHF 0.4.3","yvCOMP 0.4.3","yUSD 0.3.5","yvCurve-ibKRW 0.4.3","yvCurve-ibJPY 0.4.3","yvCurve-ibGBP 0.4.3","yvCurve-3EUR 0.4.3","yvCurve-sUSD 0.3.5","yvCurve-rETHwstETH 0.4.3","yvCurve-ibBTC 0.4.3","yvUSDC 0.3.0","yvCurve-LUSD 0.3.5","yvCurve-HBTC 0.3.3","yvLINK 0.4.2","yvCurve-ibEUR 0.4.3","yvCurve-CRVETH 0.4.3","yvCurve-BUSD 0.3.5","yvCurve-USDM 0.4.3","yvSUSHI 0.4.3","yvCurve-renBTC 0.3.5","yvCurve-alETH 0.4.3","yvCurve-YFIETH 0.4.3","yvYFIETH-f 0.4.3","yvUSDT 0.3.5","yvCurve-EURSUSDC 0.4.3","yvCurve-Pax 0.3.5","yvCurve-sBTC 0.3.5","yvCurve-3pool 0.3.5","yvRAI 0.4.2","yvCurve-EURN 0.4.3","yvCurve-mUSD 0.3.5","yvCurve-yBUSD 0.3.5","yvCurve-BBTC 0.3.5","yvCurve-sETH 0.3.2","yvBOOST 0.3.5","yvWBTC 0.3.5","yvCurve-alUSD 0.3.5","yvCurve-FRAX 0.3.5","yv1INCH 0.3.2","yvCurve-EURTUSD 0.4.3","yvDAI 0.2.2","yvCurve-rETH 0.3.5","yvCurve-RSV 0.3.5","yvCurve-USDP 0.3.5","yvCurve-Compound 0.3.5","yvYFI 0.3.2","yvCurve-3Crypto 0.4.3","yvSNX 0.3.5","yvCurve-OUSD 0.4.3","yvUNI 0.3.5","yvTUSD 0.4.3","yvWETH 0.4.2","yvUSDC 0.4.3","yvsUSD 0.3.3","yvWETH 0.3.2","yvCurve-sAave 0.3.5","yvCurve-USDP 0.4.3","yvWBTC 0.3.1","yvCurve-DOLA 0.4.3","yvCurve-MIMUST 0.4.3","yvAAVE 0.4.3","yvDAI 0.4.3","yvCurve-stETH 0.3.0","yvYFI 0.4.3","yvHEGIC 0.3.0","yvUSDC 0.2.2","yvCurve-oBTC 0.3.5","yvCurve-LINK 0.3.5","yvCurve-TUSD 0.3.5","yGov","yveCRV"
1640988000000,0,8692.23618857,61741.59010518,1317527.11745508,undefined,123089.17579885,3702529.48950442,187216.02530361,1746.2981486177,1147053.0186515679,26447940.341965374,251006430.033768,0,0,68045723.455677,814434.215575,1022997.8553650276,3531737.81472615,755697.873143,70513850.0610083,0,269193.554683,13818840.433929365,241475.24504,1883330.365512088,1233088.21565011,8028912.31119247,14389015.111338157,63549.04036048,1592574.3154909075,0,2244856.69428047,undefined,0,248687393.352306,18243650.7706781,23007846.18877354,12178792.0779278,26746094.1388116,0,2467579.36921504,1033.8374728941,1978226.5942931275,1232350.5058785053,318723.554188,undefined,undefined,82295427.274457,715092.228629,0,2799658.7988156173,19397126.3701824,15215.77241319,3618.71175751,7344868.83530025,569120.880708,6925034.41865418,7052126.43047262,29294808.896410648,73172626.808732,31469935.510946047,78903848.78667901,2259402.96476461,3973588.6446583048,2.09874751e-10,3279786.96776954,29862.11930358,7466070.93686387,22136977.8753319,18215014.161642924,15149757.939480532,7527740.37022392,529751.150745,2512403.1664720736,114066.968623,826759794.4411645,176251324.928999,554683.412546,5029663.85698612,2443775.190165767,0,5024.62267434,0,9703912.292145355,1868502.6521901847,494214129.86659294,888632725.9756725,65142654.5462664,31025.88693846,28.048948,1540493.6821137068,3553824.4877825,7336.37284991,22662098.8514997,126478945.842471
1640995200000,0,8692.23705485,61741.59010518,1318648.5788463817,undefined,123089.17579885,3702529.48950442,187216.418426,1746.2981486177,1149188.85821944,26447940.341965374,251006889.18545848,0,0,68045740.93497317,814455.583834,1022997.920449807,3531737.81472615,755702.746193,70513855.597686,0,269437.305892,13844551.4926338,240595.020304,1883330.365512088,1243380.5182409713,8028999.15119163,14389015.111338155,63549.04036048,1592574.3154909075,0,2244857.9002072327,undefined,0,248531015.120386,18418856.133868255,23049907.9587375,12344357.649690824,26746094.1388116,0,2467579.50364186,1033.8374858849,1985760.2240472636,1234642.0647173424,318994.89239951,undefined,undefined,82295427.274457,10350.78374703,0,2804875.28726467,19383958.73258485,15215.77241319,3618.71175751,7344869.45479945,569123.911404,6937923.00015804,7058129.10579792,29286600.148845643,73333803.86949608,31469946.4129961,81902744.23899522,2259402.96476461,3973593.48930604,2.09874751e-10,3282578.6783972145,29862.12157925,7466071.79309179,22137126.5306245,18512228.897373,15163566.7441933,7608330.223127581,529751.278085,2527908.5633897865,114066.968623,827449149.2540189,176101348.152401,554683.412546,5033945.03932545,2443786.19838356,0,5033.96416291,0,9703913.120444648,1863013.5605269447,494208967.88019,889389120.7532899,66238595.5753272,31025.88693846,28.048948,1543360.1038452245,3602137.2415843764,7336.37347534,23031876.753480155,126010659.11011782
1641002400000,0,8692.23794573,61741.59010518,1333901.693805147,undefined,123089.17579885,3702529.48950442,187216.94039436,1746.2981486177,1160416.1823442776,26447940.341965374,251139140.44577056,0,0,68045764.12486383,814460.820316,1022997.987383583,3531737.81472615,755707.640658,70620782.01989011,0,271368.147968,13979803.445546513,253933.42747538,1883330.365512088,1266134.557432684,8029087.06244337,14389015.111338155,63549.04036048,1592574.3154909075,0,2244858.70815378,undefined,0,247701102.75486,18418857.50280935,23275079.617321864,12578358.6214033,26806651.5517195,0,2467579.6418876136,1033.8374992448,1981737.1588796668,1246704.484879622,322684.78054946,undefined,undefined,82295437.123055,10350.7612294,0,2832279.39691346,19383962.5769756,15274.62615318,3618.71175751,7344870.09189803,569127.497473,7005703.87826624,7139772.127579151,29596627.0235714,74050192.597692,31469949.1618957,84851276.1163302,2282019.99870156,3973561.4892208898,2.09874751e-10,3320584.61838556,29862.12391957,7466072.67364431,22137278.6453694,18800658.2410634,15271139.5602626,8008328.33536018,529751.322192,2545420.81200721,114066.968623,836949565.27721,176126488.550827,554683.412546,4707870.04301173,2443796.948422606,0,5083.14032716,0,9336746.7810044,1905285.7093490728,494208814.025402,899677029.7710769,67360987.37106654,31025.88693846,28.048948,1558437.7598404353,3670419.742682644,7336.37411854,23390724.3635001,132987950.53243633
1641009600000,0,8692.23840234,61741.59010518,1334276.2428330225,undefined,123089.17579885,3702529.48950442,187217.04191773,1746.2981486177,1161723.6065865457,26447940.341965374,251139621.20641243,0,0,68046268.38405812,814465.483647,1023010.3308823372,3531737.81472615,755712.527366,70620784.943843,0,271496.787558,13995554.283062246,251046.124125,1883330.365512088,1257251.8001490221,8029174.8043496,14389015.111338155,63549.04036048,1592574.3154909075,0,2244858.74325534,undefined,0,247694676.528379,18418888.425826456,23301303.3040696,12422406.365821168,26807593.87750515,0,2467579.71274293,1033.8387235842,1977214.09702694,1248109.128455716,322775.38787939,undefined,undefined,82381545.259582,10350.7612294,0,2835470.484343085,19383964.54734724,15274.62615318,3618.71175751,7344870.41843117,569130.710621,7013597.10117233,7141776.9190282095,29553730.185610466,74133623.85061227,31469950.5707936,84851284.33376057,2281214.007657,3973567.4272032254,2.09874751e-10,3321517.0122392955,29862.12511905,7466073.12495529,22137434.11599104,18783486.674661756,15278343.441953862,8002857.28794575,529751.344798,2545905.07621579,114066.968623,837196558.4720845,176126999.363188,554683.412546,4709191.97562203,2443807.68217665,0,5088.86742592,0,9336749.283900823,1914462.7930862447,494208814.025402,899730827.8716099,67233480.80031857,31025.88693846,28.048948,1560193.6285905372,3624912.1963458345,7336.3744482,23369360.46381956,131468135.6264277
1641016800000,0,8692.24219891,61741.59010518,1338092.159912843,undefined,123089.17579885,3702529.48950442,181794.83355952,1746.2981486177,1171913.7297246784,26447940.341965374,251140057.19396728,0,0,68046836.9299322,814472.965176,1023010.667746562,3531737.81472615,755717.395678,70620809.27530228,0,272559.30681959,14118302.0111618,254116.01936563,1883330.365512088,1251574.71294026,8029262.08119759,14389015.111338155,63549.04036048,1592574.3154909075,0,2244867.097729314,undefined,0,247310459.905237,18418953.510792848,23505663.318810876,12476628.411533,26807593.87750515,0,2467580.30188855,1033.8387816964,1965448.9466009245,1259055.45178199,323698.353427,undefined,undefined,82381645.259582,10350.7612294,0,2860339.7371597937,19383980.9305336,15274.62615318,3618.71175751,7344873.13347898,569134.408995,7075110.14736132,7162198.59395966,29620053.755569343,74783799.86288233,31469962.3309152,84851327.39011,2305187.0022533764,3973569.1451092097,2.09874751e-10,3331014.7802978964,29862.1350925,7466076.87750209,22137574.390328657,19074613.766903743,15337524.92246584,7918317.7841246,529751.545756,2572078.49079859,114066.968623,839590494.3461223,176127793.396887,554683.412546,4722657.754349969,2443818.36534527,0,5133.49844971,0,9336787.895118948,1917483.97054585,494208814.025402,902303585.9907699,68331230.61407842,31025.88693846,28.048948,1573877.2996350357,3640734.42506896,7336.37718925,23750922.0130875,133068037.17555946
1641024000000,0,8692.24295002,61741.59010518,1332011.91889795,undefined,123089.17579885,3702529.48950442,181794.92054,1746.2986134837,1168189.851667093,26447940.4783292,251140533.3534487,0,0,68248738.54627532,814516.348571,1023010.7343914548,3531737.81472615,755722.294939,70611051.88723622,0,271850.40416166,14073435.970921384,256872.43816645,1883330.365512088,1234755.94401254,8029349.59290127,14389015.111338155,63549.04036048,1592574.3154909075,0,2244867.99026571,undefined,0,247301027.27215,18465036.0836263,23430959.36821724,12385519.726187633,26891718.106372528,0,2467584.6371701676,1033.8387931933,1949735.01456268,1255055.205197822,322227.480147,undefined,undefined,82385795.259583,10350.7612294,0,2851251.36260475,19383984.17176735,15274.62615318,3618.71175751,7344873.84764594,569137.449845,7052627.15275337,7129653.82989001,29447589.935933,74546127.55326109,31469966.225849357,84851349.06785446,2281262.311192863,3973569.4849780705,2.09874751e-10,3315913.84678724,29862.13706564,7466071.01276519,22137727.132318437,18491975.842824563,15298214.55519956,7916601.88071757,529751.582933,2529248.85118594,114066.968623,835777573.109062,176142835.396887,554683.412546,4701198.17313609,2443829.0873806,0,5117.18354682,0,9336787.899564547,1889909.39295006,494208814.025402,898236991.7206141,66247517.95900711,31025.88693846,28.048948,1568877.767545156,3608406.40107865,7336.37773154,23105732.4218401,134503557.871959
1641031200000,0,8692.24944579,61741.59010518,1330086.99170325,undefined,123089.17579885,3702529.48950442,181796.26358471,1746.2986134837,1166912.5398861116,26447943.8694992,251141013.93790433,0,0,68249016.06137022,814518.123054,1023013.6615296964,3531737.81472615,755727.303451,70611094.9201623,0,271618.23789439,14058047.389212128,259186.656409,1883330.365512088,1240997.9763859424,8029437.75024396,14389015.111338155,63549.04036048,1592574.3438566057,0,2244868.06775696,undefined,0,247260937.996248,18465054.7902869,23405341.013920035,12490699.438893681,26907480.378244,0,2467585.681067423,1033.83889262,1911999.192341108,1253683.4429830452,321762.06547833,undefined,undefined,82485695.259583,10350.7612294,0,2848133.7866883255,18826567.598253556,15274.62615318,3618.71175751,7344878.49425638,569140.492389,7044915.53058562,7119350.5703236,29427160.4973735,74462406.81314899,31469988.673861865,84854144.728305,2304303.58678897,3973572.42424658,2.09874751e-10,3311121.92815017,29862.15412981,7466077.43321668,22137880.0333792,18459546.98887597,15282327.493404567,8017328.44758292,529751.904442,2535164.05529782,114066.968623,833945320.71739,176051135.380424,554683.412546,4694404.34187771,2443839.85718529,0,5111.58805158,0,9336795.672151648,1883015.0238213,494208814.025402,897435600.5857022,66131341.5643044,31025.88693846,28.048948,1567162.315462157,3476773.2489249166,7336.38242135,23065212.553738847,135706754.225813
1641038400000,0,8692.25108298,61741.706869,1324734.68166889,undefined,123089.17868235,3702529.48950442,181796.42803,1746.2986134837,1163190.1236501927,26346780.054151,251141495.752979,0,0,68249051.48624644,814519.602664,1023013.8025372286,3531737.81472615,755732.756266,70600757.70256448,0,270961.84407741,14013199.153098082,267312.15814059,1883330.365512088,1238659.7997416933,8029527.40808922,14389015.111338155,63549.04036048,1592574.3438566057,0,2244869.28678038,undefined,0,246580294.650792,19394302.464357246,23330672.7441669,12386225.6044752,27011983.7418197,0,2467541.425526404,1033.8392221134,1906017.55993758,247639.073745,320467.2854394,undefined,undefined,82490451.470939,10350.7612294,0,2839047.64821976,18816499.823846843,15274.62615318,3619.2039837443,7344879.66538037,569144.225814,7022440.753188,7090702.089635231,29258836.1331906,74224855.09044243,31470126.5361053,84854173.0802598,2278630.10659287,3973602.60130141,2.09874751e-10,3297797.95905381,29862.15843064,7465686.78098288,22138036.477421477,18990158.04368318,15247485.880375428,7936093.19639323,529751.985475,2510810.47662484,114066.968623,830589547.8079319,176051802.331424,554683.412546,4675513.91770162,2443850.74878548,0,5095.28094308,0,9336802.164128931,1857133.83100446,494173021.59038097,893773428.01912,68032256.084276,31025.88693846,28.048948,1562162.7266624656,3447693.0653454643,7336.38360337,23728211.3136687,139952917.289724
1641045600000,0,8692.25214227,61741.706869,1328498.64850967,undefined,123089.17868235,3671192.11794862,181796.722522,1746.2986134837,1165537.1792100957,26346783.5287618,251141955.394257,0,0,68768789.87629376,814526.172592,1023013.8937714758,3531737.81472615,745695.691984,70601884.75832257,0,271404.8594735,14041468.31339843,261854.6248957,1883331.2501734353,1238202.073246616,8029614.89451121,14489505.215096368,63549.04036048,1592574.3438566057,0,2244869.38733174,undefined,0,245647210.982495,19539218.8755156,23377727.68581265,12407618.39645284,27011983.9815884,0,2467543.105518086,1033.8399433488,1939887.868024486,248138.702914,321377.843495,undefined,undefined,82805933.70808,10350.7612294,0,2844777.3252217,18816504.2611126,15274.62615318,3619.2039837443,7344880.42311731,569147.215871,7036614.72970885,7110848.89179309,29307987.0338007,75368938.75263083,31470133.4569776,84854192.0709484,2302495.715998945,3973605.2876838096,2.09874751e-10,3307167.98788844,29862.16121335,7465688.86208784,22138184.5178269,18805743.41198436,15272183.8315662,8103331.061869009,529752.265118,2521745.40730648,114066.968623,832956852.92017,176352330.492467,554683.412546,4688798.44900691,2436343.520901817,0,5105.55746403,0,9336802.949476099,1845565.11386348,494141684.218825,896398596.026747,67367987.03354268,30399.86582171,28.048948,1565316.3192486246,3464087.7375870342,7336.38491064,23497785.1455338,137087352.7503584
1641052800000,0,8692.25386271,61741.706869,1333596.9205449831,undefined,123089.1943458,3671192.11794862,183044.360939,1746.2986134837,1170821.3510307937,26346796.4504043,251142410.987443,0,0,68768842.15022129,814526.548259,1023014.041949916,3531737.81472615,745700.692525,70601895.7717608,0,272169.521629,14105114.515937183,273932.309139,1883038.88383021,1244704.1290210527,8029703.06137925,14514664.0703545,63549.04036048,1592515.4991055029,0,2244869.9902971,undefined,0,245169089.419616,19539221.90194688,23483670.987001423,12487010.765290132,27203486.06600683,0,2467543.380703994,1033.8399698975,1924838.4215917224,249263.5912907,322611.16930533,undefined,undefined,82806034.70808,10351.84887627,0,2857676.99031544,18279469.98029302,15274.62615318,3619.2039837443,7344881.70231011,569150.214257,7068516.81038593,7138137.63583846,29489563.609302953,75710494.02783759,31308498.7142987,84854218.41082215,2326619.39096193,3973651.8121149503,2.09874751e-10,3319887.04384524,29862.16573289,7465690.56052634,22138331.1843015,19280081.5476296,15319244.972823733,8182796.50526771,529752.734321,2517323.8782463274,114066.968623,836153837.8903023,176576069.935943,554683.412546,4706792.27236428,2407639.68643084,0,5128.69471545,0,8783101.489674108,1864909.1603606,494113196.65093905,900564906.9774611,68978793.361368,30399.86582171,28.048948,1572411.5621534933,3485727.59483018,7336.3861538,24090470.8667812,137042952.97101146
