"Time","yvCurve-UST 0.4.3","yvCurve-HUSD 0.3.5","yvCurve-EURT 0.4.3","yvCurve-ankrETH 0.3.5","yvCurve-CVXETH 0.4.3","yvCurve-d3pool 0.4.3","yvDAI 0.3.0","yvCurve-UST 0.3.5","yvCurve-ibAUD 0.4.3","yvCurve-tBTC 0.3.5","yvCurve-EURS 0.3.5","yvCurve-IronBank 0.3.2","yvCurve-USDT 0.3.5","yvCurve-RAI 0.4.3","yvCurve-MIM 0.4.3","yvCurve-GUSD 0.3.5","yvCurve-DUSD 0.3.5","yvLUSD 0.4.3","yvCurve-Aave 0.3.5","yvCurve-USDN 0.3.5","yvCurve-USDK 0.3.5","yvCurve-triCrypto 0.4.2","yvCurve-pBTC 0.3.5","yvCurve-cvxCRV 0.4.3","yvCurve-ibCHF 0.4.3","yvCOMP 0.4.3","yUSD 0.3.5","yvCurve-ibKRW 0.4.3","yvCurve-ibJPY 0.4.3","yvCurve-ibGBP 0.4.3","yvCurve-3EUR 0.4.3","yvCurve-sUSD 0.3.5","yvCurve-rETHwstETH 0.4.3","yvCurve-ibBTC 0.4.3","yvUSDC 0.3.0","yvCurve-LUSD 0.3.5","yvCurve-HBTC 0.3.3","yvLINK 0.4.2","yvCurve-ibEUR 0.4.3","yvCurve-CRVETH 0.4.3","yvCurve-BUSD 0.3.5","yvCurve-USDM 0.4.3","yvSUSHI 0.4.3","yvCurve-renBTC 0.3.5","yvCurve-alETH 0.4.3","yvCurve-YFIETH 0.4.3","yvYFIETH-f 0.4.3","yvUSDT 0.3.5","yvCurve-EURSUSDC 0.4.3","yvCurve-Pax 0.3.5","yvCurve-sBTC 0.3.5","yvCurve-3pool 0.3.5","yvRAI 0.4.2","yvCurve-EURN 0.4.3","yvCurve-mUSD 0.3.5","yvCurve-yBUSD 0.3.5","yvCurve-BBTC 0.3.5","yvCurve-sETH 0.3.2","yvBOOST 0.3.5","yvWBTC 0.3.5","yvCurve-alUSD 0.3.5","yvCurve-FRAX 0.3.5","yv1INCH 0.3.2","yvCurve-EURTUSD 0.4.3","yvDAI 0.2.2","yvCurve-rETH 0.3.5","yvCurve-RSV 0.3.5","yvCurve-USDP 0.3.5","yvCurve-Compound 0.3.5","yvYFI 0.3.2","yvCurve-3Crypto 0.4.3","yvSNX 0.3.5","yvCurve-OUSD 0.4.3","yvUNI 0.3.5","yvTUSD 0.4.3","yvWETH 0.4.2","yvUSDC 0.4.3","yvsUSD 0.3.3","yvWETH 0.3.2","yvCurve-sAave 0.3.5","yvCurve-USDP 0.4.3","yvWBTC 0.3.1","yvCurve-DOLA 0.4.3","yvCurve-MIMUST 0.4.3","yvAAVE 0.4.3","yvDAI 0.4.3","yvCurve-stETH 0.3.0","yvYFI 0.4.3","yvHEGIC 0.3.0","yvUSDC 0.2.2","yvCurve-oBTC 0.3.5","yvCurve-LINK 0.3.5","yvCurve-TUSD 0.3.5","yGov"
1640988000000,0,8566.14922431,54107.10392379,346.8799512823,undefined,122937.209822,3702529.48950442,180908.4057612,2400,24.657643742752,23169530.816743135,241955825.56132764,0,0,67786344.253877,796819.277818,1009385.25217445,3531737.81472615,699055.102405,67326784.72046939,0,159.9186214972,296.957197643,44431.08303152,1715739.1910533565,6211.71838018,7098300.41046765,17116636024.506,7309808.81446844,1175862.98787419,0,2143256.5023494423,undefined,0,248687393.352306,18067018.958291862,493.5351515463,627709.609844,23481136.594313737,0,2456176.37746387,1030.18022384,209410.415779,26.1565586395,86.5056271146,undefined,undefined,82295427.274457,334939.198553,0,59.9039558014,19018539.729840633,5017.78835652,3102.8019058345,7231484.13714697,504425.692794,148.4179314488,1903.4665621671,12446689.407627817,1581.35401694,31229080.8604834,78360569.34286134,941837.604443,1829650.237946688,2.09874751e-10,884.04321723,29054.22603268,7414397.81205226,20184825.7190998,560.8562300981,9046.08082368,1389757.0186583435,528815.932474,147646.218794,114066.968623,224540.95449244,176251324.928999,554683.412546,1366.014083918,2321185.693753697,0,0.10858852,0,9682462.964702932,7305.45098154,494214129.86659294,234126.72130367,2005.7993544876,452245.704714,28.048948,33.1386948336,182897.21022426,7301.86832356,697.7858603442
1640995200000,0,8566.14922431,54107.10392379,346.8799512823,undefined,122937.209822,3702529.48950442,180908.4057612,2400,24.657643742752,23169530.816743135,241955825.56132764,0,0,67786344.253877,796819.277818,1009385.25217445,3531737.81472615,699055.102405,67326784.72046939,0,159.9186214972,296.957197643,44431.08303152,1715739.1910533565,6211.71838018,7098300.41046765,17116636024.506,7309808.81446844,1175862.98787419,0,2143256.5023494423,undefined,0,248531015.120386,18240526.455566764,493.5198723243,627709.609844,23481136.594313737,0,2456176.37746387,1030.18022384,209410.415779,26.1565586395,86.5056271146,undefined,undefined,82295427.274457,4848.3554428051,0,59.9039558014,19005625.42856863,5017.78835652,3102.8019058345,7231484.13714697,504425.692794,148.4179314488,1903.4665621671,12446617.23874414,1581.89628898,31229080.8604834,81338787.56688839,941837.604443,1829650.237946688,2.09874751e-10,884.04321723,29054.22603268,7414397.81205226,20184825.7190998,560.8562300981,9046.08082368,1389167.49358122,528815.932474,147646.218794,114066.968623,224537.05449244,176101348.152401,554683.412546,1366.014083918,2321185.693753697,0,0.10858852,0,9682462.96470293,7305.45098154,494208967.88019,234126.72130367,2006.7993544876,452245.704714,28.048948,33.1386948336,182897.21022426,7301.86832356,697.7858603442
1641002400000,0,8566.14922431,54107.10392379,346.8799512823,undefined,122937.209822,3702529.48950442,180908.4057612,2400,24.657643742752,23169530.816743135,242082853.40858945,0,0,67786344.253877,796819.277818,1009385.25217445,3531737.81472615,699055.102405,67428868.28633173,0,159.9186214972,296.957197643,44431.08303152,1715739.1910533565,6211.71838018,7098300.41046765,17116636024.506,7309808.81446844,1175862.98787419,0,2143256.5023494423,undefined,0,247701102.75486,18240526.455566764,493.5198723243,627709.609844,23534289.5390131,0,2456176.37746387,1030.18022384,209410.415779,26.1565586395,86.5056271146,undefined,undefined,82295437.123055,4848.3554428051,0,59.9039558014,19005625.42856863,5017.78835652,3102.8019058345,7231484.13714697,504425.692794,148.4179314488,1903.4665621671,12445955.342884421,1581.89628898,31229080.8604834,84266989.92442422,941837.604443,1829650.237946688,2.09874751e-10,884.04321723,29054.22603268,7414397.81205226,20184825.7190998,560.8562300981,9046.08082368,1388406.4381692414,528815.932474,147646.218794,114066.968623,224518.040174,176126488.550827,554683.412546,1262.9216852521,2321185.693753697,0,0.10858852,0,9316104.8141052,7317.73127615,494208814.025402,234126.72130367,2009.49503726,452245.704714,28.048948,33.1386948336,182897.21022426,7301.86832356,697.7858603442
1641009600000,0,8566.14922431,54107.10392379,346.8799512823,undefined,122937.209822,3702529.48950442,180908.4057612,2400,24.657643742752,23169530.816743135,242082853.40858945,0,0,67786842.16842148,796819.277818,1009385.25217445,3531737.81472615,699055.102405,67428868.28633173,0,159.9186214972,296.957197643,44431.08303152,1715739.1910533565,6211.71838018,7098300.41046765,17116636024.506,7309808.81446844,1175862.98787419,0,2143256.5023494423,undefined,0,247694676.528379,18240526.455566764,493.5198723243,627709.609844,23535116.8036182,0,2456176.37746387,1030.18022384,209410.415779,26.1565586395,86.5056271146,undefined,undefined,82381545.259582,4848.3554428051,0,59.9039558014,19005625.42856863,5017.78835652,3102.8019058345,7231484.13714697,504425.692794,148.4179314488,1903.4665621671,12445955.342884421,1581.89628898,31229080.8604834,84266989.92442422,941504.955003,1829650.237946688,2.09874751e-10,884.04321723,29054.22603268,7414397.81205226,20184825.7190998,560.8562300981,9046.08082368,1387457.92093373,528815.932474,147735.69734627,114066.968623,224521.254174,176126999.363188,554683.412546,1262.9216852521,2321185.693753697,0,0.10858852,0,9316104.8141052,7317.73127615,494208814.025402,234074.98050863,2007.52486645,452245.704714,28.048948,33.1386948336,182897.21022426,7301.86832356,697.7858603442
1641016800000,0,8566.14922431,54107.10392379,346.8799512823,undefined,122937.209822,3702529.48950442,175661.33301242,2400,24.657643742752,23169530.816743135,242082853.40858945,0,0,67787340.0829768,796819.277818,1009385.25217445,3531737.81472615,699055.102405,67428868.28633173,0,159.9186214972,296.957197643,44431.08303152,1715739.1910533565,6211.71838018,7098300.41046765,17116636024.506,7309808.81446844,1175862.98787419,0,2143256.5023494423,undefined,0,247310459.905237,18240526.455566764,493.5198723243,627709.609844,23535116.8036182,0,2456176.37746387,1030.18022384,209410.415779,26.1565586395,86.5056271146,undefined,undefined,82381645.259582,4848.3554428051,0,59.9039558014,19005625.42856863,5017.78835652,3102.8019058345,7231484.13714697,504425.692794,148.4179314488,1903.4665621671,12445955.342884421,1581.89628898,31229080.8604834,84266989.92442422,941504.955003,1829650.237946688,2.09874751e-10,884.04321723,29054.22603268,7414397.81205226,20184825.7190998,560.3991192737,9046.08082368,1387457.92093373,528815.932474,147735.69734627,114066.968623,224521.254174,176127793.396887,554683.412546,1262.9216852521,2321185.693753697,0,0.10858852,0,9316104.8141052,7317.73127615,494208814.025402,234074.98050863,2007.52486645,452245.704714,28.048948,33.1386948336,182897.21022426,7301.86832356,697.7858603442
1641024000000,0,8566.14922431,54107.10392379,346.8799512823,undefined,122937.209822,3702529.48950442,175661.33301242,2400,24.657643742752,23169530.816743135,242082853.40858945,0,0,67988462.78796338,796819.277818,1009385.25217445,3531737.81472615,699055.102405,67419548.18839492,0,159.9186214972,296.957197643,44431.08303152,1715739.1910533565,6211.71838018,7098300.41046765,17116636024.506,7309808.81446844,1175862.98787419,0,2143256.5023494423,undefined,0,247301027.27215,18286160.56773915,493.5198723243,627709.609844,23608968.8060237,0,2456175.6310813567,1030.18022384,209513.756132,26.1565586395,86.5056271146,undefined,undefined,82385795.259583,4848.3554428051,0,59.9039558014,19005625.42856863,5017.78835652,3102.8019058345,7231484.13714697,504425.692794,148.4179314488,1903.4665621671,12445955.342884421,1581.89628898,31229080.8604834,84266989.92442422,941279.791217,1829650.237946688,2.09874751e-10,884.04321723,29054.22603268,7414391.25059114,20184825.7190998,560.3991192737,9046.08082368,1387157.25811133,528815.932474,147384.302005,114066.968623,224521.83087247,176142835.396887,554683.412546,1262.9216852521,2321185.693753697,0,0.10858852,0,9316104.8141052,7317.73127615,494208814.025402,234083.693873,2007.6302842836,452245.704714,28.048948,33.1386948336,182606.62077741,7301.86832356,700.2189603442
1641031200000,0,8566.14922431,54107.10392379,346.8799512823,undefined,122937.209822,3702529.48950442,175661.33301242,2400,24.657643742752,23169530.816743135,242082853.40858945,0,0,67988462.78796338,796819.277818,1009385.25217445,3531737.81472615,699055.102405,67419548.18839492,0,159.9186214972,296.957197643,44431.08303152,1715739.1910533565,6211.71838018,7098300.41046765,17116636024.506,7309808.81446844,1175862.98787419,0,2143256.5023494423,undefined,0,247260937.996248,18286160.56773915,493.5198723243,627709.609844,23622806.4474315,0,2456175.6310813567,1030.18022384,209513.756132,26.1565586395,86.5056271146,undefined,undefined,82485695.259583,4848.3554428051,0,59.9039558014,18459062.454953,5017.78835652,3102.8019058345,7231484.13714697,504425.692794,148.4179314488,1903.4665621671,12433562.052626532,1581.84941155,31229080.8604834,84269701.0409563,941261.104095,1829650.237946688,2.09874751e-10,884.04321723,29054.22603268,7414391.25059114,20184825.7190998,560.3991192737,9044.32900998,1404806.6979110285,528815.932474,147384.302005,114066.968623,224353.837707,176051135.380424,554683.412546,1262.9216852521,2321185.693753697,0,0.10858852,0,9316104.8141052,7317.73127615,494208814.025402,234213.310589,2007.6302842836,452245.704714,28.048948,33.1386948336,174463.46919537,7301.86832356,700.2189603442
1641038400000,0,8566.14922431,54107.10392379,346.8799512823,undefined,122937.209822,3702529.48950442,175661.33301242,2400,24.657643742752,23080905.68196196,242082853.40858945,0,0,67988462.78796338,796819.277818,1009385.25217445,3531737.81472615,699055.102405,67409667.75304633,0,159.9186214972,296.957197643,44431.08303152,1715739.1910533565,6211.71838018,7098300.41046765,17116636024.506,7309808.81446844,1175862.98787419,0,2143256.5023494423,undefined,0,246580294.650792,19206385.746375,493.5198723243,627709.609844,23714545.61491707,0,2456131.31786806,1030.18022384,209513.756132,5.183217787114,86.5056271146,undefined,undefined,82490451.470939,4848.3554428051,0,59.9039558014,18449184.4849763,5017.78835652,3102.8019058345,7231484.13714697,504425.692794,148.4179314488,1903.4665621671,12447500.016442,1581.84941155,31229080.8604834,84269701.0409563,941261.104095,1829650.237946688,2.09874751e-10,884.04321723,29054.22603268,7414001.69239389,20184825.7190998,560.3991192737,9045.42202609,1404806.6979110285,528815.932474,147384.302005,114066.968623,224353.850707,176051802.331424,554683.412546,1262.9216852521,2321185.693753697,0,0.10858852,0,9316104.8141052,7317.73127615,494173021.59038097,234199.98097252,2007.6302842836,452245.704714,28.048948,33.1386948336,174463.46919537,7301.86832356,700.2189603442
1641045600000,0,8566.14922431,54107.10392379,346.8799512823,undefined,122937.209822,3671192.11794862,175661.33301242,2400,24.657643742752,23080905.68196196,242082853.40858945,0,0,68506192.7365292,796819.277818,1009385.25217445,3531737.81472615,689766.248838,67410736.916019,0,159.9186214972,296.957197643,44431.08303152,1715739.1910533565,6211.71838018,7098300.41046765,17236171700.650932,7309808.81446844,1175862.98787419,0,2143256.5023494423,undefined,0,245647210.982495,19349894.5379442,493.5198723243,625817.828926,23714545.61491707,0,2456131.31786806,1030.18022384,209513.756132,5.183217787114,86.5056271146,undefined,undefined,82805933.70808,4848.3554428051,0,59.9039558014,18449184.4849763,5017.78835652,3102.8019058345,7231484.13714697,504425.692794,148.4179314488,1903.4665621671,12447500.016442,1602.99860902,31229080.8604834,84269701.0409563,941261.104095,1829650.237946688,2.09874751e-10,884.04321723,29054.22603268,7414001.69239389,20184825.7190998,560.3991192737,9045.42202609,1404484.95546417,528815.932474,147384.302005,114066.968623,224355.831003,176352330.492467,554683.412546,1262.9216852521,2314044.90838201,0,0.10858852,0,9316104.8141052,7317.73127615,494141684.218825,234205.216504,2007.5229026458,452245.704714,28.048948,33.1386948336,174463.46919537,7301.86832356,700.2189603442
1641052800000,0,8566.14922431,54107.10392379,346.8799512823,undefined,122937.209822,3671192.11794862,176861.33301242,2400,24.657643742752,23080905.68196196,242082853.40858945,0,0,68506192.7365292,796819.277818,1009385.25217445,3531737.81472615,689766.248838,67410736.916019,0,159.9186214972,296.957197643,46492.78180283,1715739.1910533565,6211.71838018,7098300.41046765,17247621990.2658,7309808.81446844,1175862.98787419,0,2143256.5023494423,undefined,0,245169089.419616,19349894.5379442,493.5198723243,625912.216785,23882664.498053,0,2456131.31786806,1030.18022384,209513.756132,5.183217787114,86.5056271146,undefined,undefined,82806034.70808,4848.3554428051,0,59.9039558014,17922626.8657223,5017.78835652,3102.8019058345,7231484.13714697,504425.692794,148.4179314488,1903.4665621671,12447500.016442,1602.99860902,31068677.5022173,84269701.0409563,941261.104095,1829650.237946688,2.09874751e-10,884.04321723,29054.22603268,7414001.69239389,20184825.7190998,560.3991192737,9048.06658481,1404196.36841519,528815.932474,147384.302005,114066.968623,224355.942003,176576069.935943,554683.412546,1262.9216852521,2286771.74036142,0,0.10858852,0,8763595.343972182,7317.73127615,494113196.65093905,234394.24389425,2004.95288118,452245.704714,28.048948,33.1386948336,174463.46919537,7301.86832356,700.2189603442
