Timestamp,Vault,Chain,Address,Type,Month,APY
2021-01-31,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,jan/21,
2021-02-28,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,feb/21,
2021-03-31,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,mar/21,
2021-04-30,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,apr/21,
2021-05-31,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,may/21,
2021-06-30,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,jun/21,
2021-07-31,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,jul/21,
2021-08-31,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,aug/21,
2021-09-30,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,sep/21,
2021-10-31,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,oct/21,
2021-11-30,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,nov/21,
2021-12-31,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,dec/21,
2022-01-31,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,jan/22,
2022-02-28,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,feb/22,
2022-03-31,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,mar/22,
2022-04-30,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,apr/22,
2022-05-31,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,may/22,
2022-06-30,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,jun/22,
2022-07-31,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,jul/22,
2022-08-31,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,aug/22,
2022-09-30,yvCurve-UST 0.4.3 - ETH,ETH,0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959,Stable,sep/22,
2021-01-31,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,jan/21,
2021-02-28,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,feb/21,
2021-03-31,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,mar/21,
2021-04-30,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,apr/21,
2021-05-31,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,may/21,
2021-06-30,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,jun/21,
2021-07-31,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,jul/21,0.03718945914660021
2021-08-31,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,aug/21,0.02910306524554529
2021-09-30,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,sep/21,0.022050383616449842
2021-10-31,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,oct/21,0.029155881700711817
2021-11-30,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,nov/21,0.029155881700711817
2021-12-31,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,dec/21,0.051214698175194195
2022-01-31,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,jan/22,0.01981042201398986
2022-02-28,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,feb/22,
2022-03-31,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,mar/22,
2022-04-30,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,apr/22,
2022-05-31,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,may/22,
2022-06-30,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,jun/22,
2022-07-31,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,jul/22,
2022-08-31,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,aug/22,
2022-09-30,yvCurve-HUSD 0.3.5 - ETH,ETH,0x054AF22E1519b020516D72D749221c24756385C9,Stable,sep/22,
2021-01-31,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,jan/21,
2021-02-28,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,feb/21,
2021-03-31,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,mar/21,
2021-04-30,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,apr/21,
2021-05-31,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,may/21,
2021-06-30,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,jun/21,
2021-07-31,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,jul/21,
2021-08-31,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,aug/21,
2021-09-30,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,sep/21,
2021-10-31,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,oct/21,0.06535396248973813
2021-11-30,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,nov/21,1.7475835336254844
2021-12-31,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,dec/21,0.0363565820190177
2022-01-31,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,jan/22,
2022-02-28,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,feb/22,
2022-03-31,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,mar/22,
2022-04-30,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,apr/22,
2022-05-31,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,may/22,
2022-06-30,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,jun/22,
2022-07-31,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,jul/22,
2022-08-31,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,aug/22,
2022-09-30,yvCurve-EURT 0.4.3 - ETH,ETH,0x0d4EA8536F9A13e4FBa16042a46c30f092b06aA5,Stable,sep/22,
2021-01-31,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,jan/21,
2021-02-28,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,feb/21,
2021-03-31,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,mar/21,
2021-04-30,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,apr/21,
2021-05-31,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,may/21,
2021-06-30,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,jun/21,
2021-07-31,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,jul/21,
2021-08-31,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,aug/21,
2021-09-30,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,sep/21,
2021-10-31,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,oct/21,
2021-11-30,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,nov/21,
2021-12-31,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,dec/21,
2022-01-31,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,jan/22,
2022-02-28,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,feb/22,
2022-03-31,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,mar/22,
2022-04-30,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,apr/22,
2022-05-31,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,may/22,
2022-06-30,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,jun/22,
2022-07-31,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,jul/22,
2022-08-31,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,aug/22,
2022-09-30,yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,0x1025b1641d1F23C289412Dd5E5701e9810103a93,Other,sep/22,
2021-01-31,yvCurve-ankrETH 0.3.5 - ETH,ETH,0x132d8D2C76Db3812403431fAcB00F3453Fc42125,ETH,jan/21,
2021-02-28,yvCurve-ankrETH 0.3.5 - ETH,ETH,0x132d8D2C76Db3812403431fAcB00F3453Fc42125,ETH,feb/21,
2021-03-31,yvCurve-ankrETH 0.3.5 - ETH,ETH,0x132d8D2C76Db3812403431fAcB00F3453Fc42125,ETH,mar/21,
2021-04-30,yvCurve-ankrETH 0.3.5 - ETH,ETH,0x132d8D2C76Db3812403431fAcB00F3453Fc42125,ETH,apr/21,
2021-05-31,yvCurve-ankrETH 0.3.5 - ETH,ETH,0x132d8D2C76Db3812403431fAcB00F3453Fc42125,ETH,may/21,
2021-06-30,yvCurve-ankrETH 0.3.5 - ETH,ETH,0x132d8D2C76Db3812403431fAcB00F3453Fc42125,ETH,jun/21,0.09921741566908726
