,ETH yvDAI 0.4.3,ETH yvDAI 0.4.3,ETH yvDAI 0.4.3,ETH yvDAI 0.4.3,ETH yvUSDC 0.3.0,ETH yvUSDC 0.3.0,ETH yvUSDC 0.3.0,ETH yvUSDC 0.3.0,ETH yvUSDC 0.4.3,ETH yvUSDC 0.4.3,ETH yvUSDC 0.4.3,ETH yvUSDC 0.4.3,ETH yvUSDT 0.3.5,ETH yvUSDT 0.3.5,ETH yvUSDT 0.3.5,ETH yvUSDT 0.3.5,ETH yvUSDT 0.4.3,ETH yvUSDT 0.4.3,ETH yvUSDT 0.4.3,ETH yvUSDT 0.4.3,ETH yvDAI 0.3.0,ETH yvDAI 0.3.0,ETH yvDAI 0.3.0,ETH yvDAI 0.3.0,FTM yvDAI 0.4.3,FTM yvDAI 0.4.3,FTM yvDAI 0.4.3,FTM yvDAI 0.4.3,FTM yvUSDC 0.4.3,FTM yvUSDC 0.4.3,FTM yvUSDC 0.4.3,FTM yvUSDC 0.4.3,FTM yvUSDT 0.4.3,FTM yvUSDT 0.4.3,FTM yvUSDT 0.4.3,FTM yvUSDT 0.4.3
,totalGain,tvl,debtRatio,apy,totalGain,tvl,debtRatio,apy,totalGain,tvl,debtRatio,apy,totalGain,tvl,debtRatio,apy,totalGain,tvl,debtRatio,apy,totalGain,tvl,debtRatio,apy,totalGain,tvl,debtRatio,apy,totalGain,tvl,debtRatio,apy,totalGain,tvl,debtRatio,apy
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,400299.62818494864,493510816.691392,0.08812772266820014,0.0,12593486.693687081,472210589.22154,0.231276283465189,0.0,0.0,0.0,0.0,0.0,2323624.1112039997,174961796.702579,0.7491843829918321,0.0,0.0,0.0,0.0,0.0,25310896.582547635,12731108.990090763,0.9999999999999999,0.0,0.0,124377.76643421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-31,2516959.128923365,489233334.00731,0.970196718134607,0.032408429457975174,14737727.911540998,428827532.21751297,0.9999999999999999,0.050244431261014855,0.0,14666.484763,0.9999999998636346,0.0,3202013.2804809934,175340718.687933,0.6385762376507207,0.06256308395739807,0.0,0.0,0.0,0.0,25381800.317226525,10576415.4058594,1.0,0.03085550527714509,3420.4491463953,547569.53433,0.999254073701343,0.1733300047335249,9891.397852,8776130.382325,0.14743910730382792,0.0,0.0,0.0,0.0,0.0
2021-11-30,5693338.048572585,560346398.8698038,0.959361608228173,0.04438949873259945,18156793.211938426,296587385.947663,0.999848549040756,0.08624744364356585,229352.97960845364,133313546.059826,0.9857354747534358,0.02154021040056442,3659608.1151174875,173410204.75770345,0.6326126750713281,0.048631518598379664,0.0,0.0,0.0,0.0,25380483.492132347,3997872.56271455,1.0,0.12642637464487017,16939.1027412,1679730.80040389,0.9998589897637958,0.15749272846549878,100899.855186,356694.46589,0.0,0.06662961240471588,0.0,0.0,0.0,0.0
2021-12-31,8134157.488624785,494215241.20499694,0.9006695410747296,0.02746183971427585,19868354.941180542,268631198.786916,0.9862090692671542,0.03884209260281857,1278599.9092842557,161730029.28391117,0.8454577561843553,0.05609244333470542,4325257.724473171,82206289.80796416,0.7286087827659813,0.0978667141054883,0.0,0.0,0.0,0.0,25380351.689638063,3702383.98009548,1.0,0.028964995298878193,45165.23807851,7455461.003293859,0.7999633923257963,0.18149456155724586,102653.32042100001,804338.28787,1.3870754542164971,0.15271466658571553,1.067998,1981.816797,0.9999119378742455,0.010750593432119926
2022-01-31,10059770.534100631,366306913.559208,0.8530242999680339,0.03286934300659938,20962659.312922228,170566894.27964354,0.9618253733749227,0.031234090826486094,2150486.8148461394,231158959.131011,0.7967805907077552,0.0370458533468212,4832419.253202475,119769368.9328084,0.7886855482978299,0.05367953856366925,0.0,0.0,0.0,0.0,25396791.178194057,3042371.1646935963,0.9999999999999999,0.030187091510832653,560989.2281101136,187720488.1602457,1.2504126345023192,0.1591714638069195,588184.664633,212149946.268862,1.5802177972521545,0.10704664226685168,20229.345777,7332197.430795,0.8989883790350016,0.12410737163862495
2022-02-28,10970204.355887346,365479513.93679655,0.8071673348580829,0.01995657071118706,21399860.8380395,117983332.3109585,0.988893022009176,0.014472913137122623,2939071.9322459777,347845887.157225,0.614562023373304,0.022665376550083716,4978746.371437346,106343419.3975549,0.780720867732376,0.012728458310816704,0.0,0.0,0.0,0.0,25461133.838106245,2616861.528667835,1.0,0.04118734826523518,1285392.7234981337,95640719.47628364,1.4916056036338046,0.016545662080799106,1275904.955848,79202912.33472,1.4261068416120044,0.014569462663634347,93166.86896,15869661.078093,0.9292455828718348,0.04724755161741445
2022-03-31,11961704.88404866,288514163.4863255,0.8272589365274777,0.02631110768093592,21574169.772789408,89660935.2838,0.9812797396797415,0.001182795034125439,3466919.9783837483,326060076.56604743,0.8164076146220464,0.016918566669051005,5213243.307590632,83601794.49966356,0.8418685617802258,0.02216840597174463,0.0,0.0,0.0,0.0,25408107.080771822,2222521.24818122,0.9999999999999998,0.06138729903601292,1688898.714189908,45349080.595302,1.6441859013654214,0.0164000514659024,1816670.8140200002,28487102.000907,1.826182626915776,0.04171203412953339,157996.54433799998,10200920.585375,0.9936951754262053,0.03222961031143878
2022-04-30,12564033.447339742,255750233.0524507,0.9824286096456225,0.01618664018933913,21760538.94275511,57621634.8868489,0.9999999999999999,0.005688933807190377,4495302.984879561,313588167.48674834,0.9712543383914465,0.024803151554467995,5494769.4119064,80333175.74917687,0.7746346619143675,0.028143530017578744,0.0,0.0,0.0,0.0,25433449.62506006,2050609.0467400465,1.0000000000000002,0.021597039083365077,1949133.6518517884,36810973.62348766,1.515331345904579,0.02094354072721405,2059384.1507650004,32942549.874359,1.294230283846921,0.030330330837055053,178373.26642999996,3456814.536348,0.9991488071893759,0.011913668406641209
