,timestamp,vault,totalAssets,totalDebt,totalGain,totalLoss,netTotalGain,netTotalGainDelta,totalAssetsUSDC,totalDebtUSDC,netTotalGainUSDC,netTotalGainDeltaUSDC
0,2021-09-30,yUSD,19965771.455871151503618396,19965771.455871151503618396,122559.167965352825956598,0,122559.167965352825956598,0,22289071.63530235057614394833,22289071.63530235057614394833,136820.6623210398080325671512,0
1,2021-09-30,yv1INCH,1572683.090876989473583833,1572635.35833042101351187,55229.730429222840237165,0,55229.730429222840237165,0,3922938.462004574363929796212,3922819.396794355554021677788,137766.3656484810535696446845,0
2,2021-09-30,yvAAVE,3405.739523005886713907,2854.372016571671901696,22.5737249796207101,0,22.5737249796207101,0,897356.4362112114723402115827,752080.1526686036205711829479,5947.805832739085168423253371,0
3,2021-09-30,yvBOO,0,0,0,0,0,0,0,0,0,0
4,2021-09-30,yvBOOST,11608845.361839331246192446,11481521.621852415154350842,1068738.100716589599738784,0,1068738.100716589599738784,0,10112298.88956041097106285554,10001389.00366282071561057517,930962.4490850245375745091560,0
5,2021-09-30,yvBalancer-BoostedAaveUSD,0,0,0,0,0,0,0,0,0,0
6,2021-09-30,yvCOMP,1536.524407942288916084,1334.070626535364984231,8.069409166960742899,0,8.069409166960742899,0,473982.0174750799241754958618,411529.7379924380715723528650,2489.224913719439491096368368,0
7,2021-09-30,yvCRV,0,0,0,0,0,0,0,0,0,0
8,2021-09-30,yvCurve-3Crypto,12174.49805727441130187,12060.280692396562925642,569.777672818205004413,0,569.777672818205004413,0,18013156.15766426475168990560,17844162.31333634440103876506,843032.2258331053812803655083,0
9,2021-09-30,yvCurve-3EUR,0,0,0,0,0,0,0,0,0,0
10,2021-09-30,yvCurve-3pool,8974512.478770459813128981,8280291.849577629165855607,205738.145825807862797107,0,205738.145825807862797107,0,9148911.439663281587388296510,8441200.232943483391072362113,209736.1923974643643823041145,0
11,2021-09-30,yvCurve-Aave,12764026.247962437776587192,12764026.247962437776587192,373836.981582630014503097,0,373836.981582630014503097,0,13639164.13955269902914368379,13639164.13955269902914368379,399468.3068012627776665177285,0
12,2021-09-30,yvCurve-BBTC,287.373153752966615736,287.373153752966615736,24.86050393117853258,0,24.86050393117853258,0,12028504.00576381672554210676,12028504.00576381672554210676,1040579.703483875247319183391,0
13,2021-09-30,yvCurve-BUSD,5988603.578244128106441677,5988603.578244128106441677,709509.011361153676150028,0,709509.011361153676150028,0,6014597.117854498827426728503,6014597.117854498827426728503,712588.6359096429158006682393,0
14,2021-09-30,yvCurve-CRVETH,0,0,0,0,0,0,0,0,0,0
15,2021-09-30,yvCurve-CVXETH,0,0,0,0,0,0,0,0,0,0
16,2021-09-30,yvCurve-Compound,18611824.740841309084547395,18611824.740841309084547395,384523.589205797941151671,0,384523.589205797941151671,0,20221305.27842829468811216793,20221305.27842829468811216793,417775.7416243495434714907091,0
17,2021-09-30,yvCurve-DOLA,0,0,0,0,0,0,0,0,0,0
18,2021-09-30,yvCurve-DUSD,3172234.855382456593448296,3172234.855382456593448296,307301.568027647138965405,0,307301.568027647138965405,0,3211624.864782294144061599618,3211624.864782294144061599618,311117.3673631394229051887809,0
19,2021-09-30,yvCurve-EURN,0,0,0,0,0,0,0,0,0,0
20,2021-09-30,yvCurve-EURS,16683199.346289495666908331,16380868.006347070471347019,1871071.849297555627125943,0,1871071.849297555627125943,0,19409341.48677180377497857461,19057607.26018288909891096859,2176817.031043807297941812200,0
21,2021-09-30,yvCurve-EURSUSDC,0,0,0,0,0,0,0,0,0,0
22,2021-09-30,yvCurve-EURT,2351049.52288379142940348,2351049.52288379142940348,24734.308329349318889075,0,24734.308329349318889075,0,2731069.557159582343077125165,2731069.557159582343077125165,28732.32394221393677102405302,0
23,2021-09-30,yvCurve-EURTUSD,0,0,0,0,0,0,0,0,0,0
24,2021-09-30,yvCurve-FRAX,25172776.975602594590751407,25092441.264887419185892794,2452399.85686785766274809,0,2452399.85686785766274809,0,25336269.04936744052343789996,25255411.57452767423724884913,2468327.695845994057355675965,0
25,2021-09-30,yvCurve-GUSD,2134653.16941242355493647,2134653.16941242355493647,274460.560066417316911756,0,274460.560066417316911756,0,2178191.999286442199656952659,2178191.999286442199656952659,280058.5147145482098726532750,0
26,2021-09-30,yvCurve-Geist,0,0,0,0,0,0,0,0,0,0
27,2021-09-30,yvCurve-HBTC,513.376898097320186291,513.376722767855299502,28.931885435653114322,0,28.931885435653114322,0,21481466.68742637927965443608,21481459.35103459139699835805,1210610.246572883377281767716,0
28,2021-09-30,yvCurve-HUSD,8404.921228107185369789,8374.078896816765829914,134.960077075079573505,0,134.960077075079573505,0,8526.786528336721966801387533,8495.497005471214666243484186,136.9169009245113993383460366,0
29,2021-09-30,yvCurve-IronBank,167519172.641612092230167301,165517121.316462978854019069,11852608.156523231315984326,0,11852608.156523231315984326,0,172680916.5629917473502685094,170617176.3213149295235310720,12217820.84913434229555929928,0
30,2021-09-30,yvCurve-LINK,428301.113320571212140956,428301.113320571212140956,39657.285430950959480763,0,39657.285430950959480763,0,9740333.482285600304915317169,9740333.482285600304915317169,901877.6115357247820387919650,0
31,2021-09-30,yvCurve-LUSD,32443077.624954671249233811,22815124.14556839844233696,4374778.197900514943825454,0,4374778.197900514943825454,0,32638076.78347597836762804504,22952254.47769579659630431744,4401072.807714344303042682814,0
32,2021-09-30,yvCurve-MIM,46092229.593141620906275645,45985133.878244481791674621,196370.619252943237737328,0,196370.619252943237737328,0,46222318.42967894159065562993,46114920.45218630472080093105,196924.8477121482070664357332,0
33,2021-09-30,yvCurve-MIMUST,0,0,0,0,0,0,0,0,0,0
34,2021-09-30,yvCurve-OUSD,0,0,0,0,0,0,0,0,0,0
35,2021-09-30,yvCurve-RAI,0,0,0,0,0,0,0,0,0,0
36,2021-09-30,yvCurve-RSV,1708247.470773987448891318,1708247.470773987448891318,44817.073671610852903569,0,44817.073671610852903569,0,1754730.495739383688200070288,1754730.495739383688200070288,46036.58851942713597854236505,0
37,2021-09-30,yvCurve-STG-USDC,0,0,0,0,0,0,0,0,0,0
38,2021-09-30,yvCurve-TUSD,66153.734325648539035621,66153.734325648539035621,12997.300111743923596874,0,12997.300111743923596874,0,66442.76139245030701357157921,66442.76139245030701357157921,13054.08559129293180488189211,0
39,2021-09-30,yvCurve-Tricrypto,0,0,0,0,0,0,0,0,0,0
40,2021-09-30,yvCurve-USDM,0,0,0,0,0,0,0,0,0,0
41,2021-09-30,yvCurve-USDN,282699655.314097270974537306,281705052.955417975884747112,10837670.709465599970078741,0,10837670.709465599970078741,0,293756459.9516018844090268845,292722957.2130841358421367025,11261548.15504305711588313535,0
42,2021-09-30,yvCurve-USDP,6911145.619560579017110159,6911145.619560579017110159,1755628.277078114290377109,0,1755628.277078114290377109,0,6955504.801368385046332354600,6955504.801368385046332354600,1766896.775561117596697443029,0
43,2021-09-30,yvCurve-UST,6479063.233242010178837676,6479063.233242010178837676,222392.070090714481851302,0,222392.070090714481851302,0,6650438.480017579053492303805,6650438.480017579053492303805,228274.4784761092600272618582,0
44,2021-09-30,yvCurve-YFIETH,0,0,0,0,0,0,0,0,0,0
45,2021-09-30,yvCurve-alETH,0,0,0,0,0,0,0,0,0,0
46,2021-09-30,yvCurve-alUSD,28001612.623072124209318157,28001612.623072124209318157,2623593.902237642769871327,0,2623593.902237642769871327,0,27458481.89891985455229713449,27458481.89891985455229713449,2572705.602510586739205218037,0
47,2021-09-30,yvCurve-ankrETH,9542.250099772069550823,9535.139580901381828764,88.907659272602903869,0,88.907659272602903869,0,27859097.66119716087312544810,27838338.12989489430137853335,259570.5558548554146235920543,0
48,2021-09-30,yvCurve-cvxCRV,12234.828123872950032112,0,0,0,0,0,28093.86536303056984303356265,0E-50,0E-50,0
49,2021-09-30,yvCurve-d3pool,0,0,0,0,0,0,0,0,0,0
50,2021-09-30,yvCurve-ibAUD,0,0,0,0,0,0,0E-53,0E-53,0E-53,0
