,timestamp,network,vault,version,totalAssets,totalDebt,totalGain,totalLoss,netTotalGain,netTotalGainDelta,tokenPriceUSDC,totalAssetsUSDC,totalDebtUSDC,netTotalGainUSDC,netTotalGainDeltaUSDC,pricePerShare,apy
0,2021-09-30,ETH,yvWETH,0.4.2,61648.230414290992613812,27476.756746072913878449,286.417557587762697436,1.207725301591620982,285.209832286171076454,0,2848.32000000000016370904631912708282470703125,175593887.6536333301741460042,78262595.77497440655645749852,812368.8694973468471768869244,0,1.00426787410077224,0
1,2021-10-31,ETH,yvWETH,0.4.2,144311.128524436448613480,54374.090619995763434195,477.273848874350920906,1.207725301592976117,476.066123572757944789,190.856291286586868335,4312.0600000000004001776687800884246826171875,622278244.8650814903583335607,234464341.1988589534333517180,2052825.688813146813917886857,822983.7794052398478490458191,1.006128784807312245,0.001853002325904606010421262
2,2021-11-30,ETH,yvWETH,0.4.2,145880.960453292624289558,64548.197680701607227255,649.278864361614670825,1.207725301592976117,648.071139060021694708,172.005015487263749919,4444.362444180000238702632486820220947265625,648347861.9595215632384757188,286875585.6116168177216020932,2880263.031595314841512559584,764452.6310421943143083691148,1.00721167397260373,0.001076292798340794357687476
3,2021-12-31,ETH,yvWETH,0.4.2,152200.491586283086142025,60480.901517895651340850,866.019352568339150279,1.207725301592976117,864.811627266746174162,216.740488206724479454,3711.665061659999992116354405879974365234375,564917246.9882837209356595782,224484849.0616725498506718841,3209891.101843312368970700454,804468.0975240305161505571182,1.008219660655289295,0.001000769459621039251699074
4,2022-01-31,ETH,yvWETH,0.4.2,167445.064849591963840429,56308.036919879581076294,1027.875335258448666556,1.480313138043107032,1026.395022120405559524,161.583394853659385362,2607.05860634000009667943231761455535888671875,436539097.4052881631559863169,146798352.2580825323252151172,2675871.975923538088919515426,421257.3801948671810727076028,1.009140176200306013,0.000913010905201384118618827
5,2022-02-28,ETH,yvWETH,0.4.2,116522.707039493043918957,49961.244695037687367918,1200.163184120794975779,1.480313138043107032,1198.682870982751868747,172.287848862346309223,2623.6529445400001350208185613155364990234375,305715143.4299377264798103596,131080966.7570190895349181781,3144927.844023558025837396586,452023.5219761574065885716911,1.010113797206337312,0.000964802540809794545052500
6,2022-03-31,ETH,yvWETH,0.4.2,96166.582452251968174354,43427.469993470826352862,1405.104535542070596658,1.480313138043107032,1403.624222404027489626,204.941351421275620879,3388.3948860800001057214103639125823974609375,325850356.1930012449084627341,147149417.2412692035949226746,4756033.137171823457837611065,694422.2271021744751632691886,1.011407684332063799,0.001280932038850453327932237
7,2022-04-30,ETH,yvWETH,0.4.2,72768.859796294543037351,41551.038652026769388021,1528.252869295755473856,1.480313138043107032,1526.772556157712366824,123.148333753684877198,2814.71999999999979991116560995578765869140625,204823965.0458261616178562702,116954539.5146327800179515775,4297437.249268235847656708140,346628.0779831718729061480021,1.0126845427354094,0.001262456695876145660659603
8,2022-05-31,ETH,yvWETH,0.4.2,53289.828019966900711946,37751.989549759436844466,1595.134147930808740235,1.480313138043107032,1593.653834792765633203,66.881278635053266379,1994.114578590000064650666899979114532470703125,106266022.9451698737641734892,75281792.73195262567966933816,3177928.345186113423666018084,133368.9327608996190114818671,1.013165910709141753,0.000475338521937056073662654
9,2022-06-30,ETH,yvWETH,0.4.2,53186.000086005469407754,34268.352324180651326684,1606.915481864068384445,1.480313138043107032,1605.435168726025277413,11.781333933259644210,1096.05615747999991071992553770542144775390625,58294842.88599809957287649253,37560038.57161226892300788203,1759647.102117102589101272407,12913.00360087729935212615936,1.013256019160278653,0.000088937507849855212534640
10,2022-07-31,ETH,yvWETH,0.4.2,54189.245098705428031651,33571.404109475604697967,1616.974400187397051076,1.480313138043107032,1615.494087049353944044,10.058918323328666631,1696.470000000000027284841053187847137451171875,91930428.63260079897139991128,56952879.92960208001795050155,2740637.253856617529530824068,17064.65316797738335394855762,1.013496729620553529,0.000237561342566078542099080
11,2022-08-31,ETH,yvWETH,0.4.2,51795.384629124399062474,50524.123838608067645180,1619.178717324845932514,1.480313138043107032,1617.698404186802825482,2.204317137448881438,1518.981700000000046202330850064754486083984375,78676241.39610125159246265987,76745219.51937941055972279871,2457254.272078956948156888565,3348.317392781235691636274283,1.013850596331280391,0.000349154269949491949092836
12,2021-09-30,ETH,yvWETH,0.3.2,1151.423508650064799911,2E-18,7623.166638493944216016,6563.79253927022894475,1059.374099223715271266,0,2848.32000000000016370904631912708282470703125,3279622.608158152759380944031,5.696640000000000327418092638E-15,3017436.434300892854881496599,0,1.029280465495450502,0
13,2021-10-31,ETH,yvWETH,0.3.2,1036.106180889323965745,2E-18,7623.166638493944216016,6563.79253927022894475,1059.374099223715271266,0E-18,4312.0600000000004001776687800884246826171875,4467752.018365618714356940777,8.624120000000000800355337560E-15,4568084.678298614096553125353,0E-58,1.030469675543881232,0.001155379984655879392990804
14,2021-11-30,ETH,yvWETH,0.3.2,257.855955049335723952,2E-18,7623.166638493944216016,6563.79253927022894475,1059.374099223715271266,0E-18,4444.362444180000238702632486820220947265625,1146005.322629433992139595762,8.888724888360000477405264974E-15,4708242.460926897296499537756,0E-57,1.031498743975624687,0.000998640189193644484081152
15,2021-12-31,ETH,yvWETH,0.3.2,337.568974170781327876,2E-18,7623.166638493944216016,6563.79253927022894475,1059.374099223715271266,0E-18,3711.665061659999992116354405879974365234375,1252942.967330096022039976061,7.423330123319999984232708812E-15,3932041.831316198092106071566,0E-57,1.032504987622064224,0.000975516114116873331469750
16,2022-01-31,ETH,yvWETH,0.3.2,437.930074867459920542,2E-18,7623.166638493944216016,6563.79253927022894475,1059.374099223715271266,0E-18,2607.05860634000009667943231761455535888671875,1141709.370658331963002864690,5.214117212680000193358864635E-15,2761850.362714872113403399532,0E-59,1.03337640328943577,0.000843982041557475757014056
17,2022-02-28,ETH,yvWETH,0.3.2,295.559911966721513156,2E-18,7623.166638493944216016,6563.79253927022894475,1059.374099223715271266,0E-18,2623.6529445400001350208185613155364990234375,775446.6333194721203886449960,5.247305889080000270041637123E-15,2779429.974797710842693163793,0E-58,1.034121961029509153,0.000721477418779961852639487
18,2022-03-31,ETH,yvWETH,0.3.2,277.800382501164901381,2E-18,7623.166638493944216016,6563.79253927022894475,1059.374099223715271266,0E-18,3388.3948860800001057214103639125823974609375,941297.3954180151008516161673,6.776789772160000211442820728E-15,3589577.780255243435014238240,0E-58,1.034953289094066424,0.000803897505212684159912508
19,2022-04-30,ETH,yvWETH,0.3.2,189.260715085073109535,2E-18,7623.166638493944216016,6563.79253927022894475,1059.374099223715271266,0E-18,2814.71999999999979991116560995578765869140625,532715.9199642569450013993228,5.629439999999999599822331220E-15,2981841.464566975636368906823,0E-59,1.035499796771500061,0.000528050573095927589151046
20,2022-05-31,ETH,yvWETH,0.3.2,2E-18,2E-18,7623.166638493944216016,6563.79253927022894475,1059.374099223715271266,0E-18,1994.114578590000064650666899979114532470703125,3.988229157180000129301333800E-15,3.988229157180000129301333800E-15,2112513.335442659892783989137,0E-60,1.036250602912057263,0.000725066429658488513395539
21,2022-06-30,ETH,yvWETH,0.3.2,2E-18,2E-18,7623.166638493944216016,6563.79253927022894475,1059.374099223715271266,0E-18,1096.05615747999991071992553770542144775390625,2.192112314959999821439851075E-15,2.192112314959999821439851075E-15,1161133.504528981516532409353,0E-59,1.036435964964258779,0.000178877630257212008003911
22,2022-07-31,ETH,yvWETH,0.3.2,2E-18,2E-18,7623.166638493944216016,6563.79253927022894475,1059.374099223715271266,0E-18,1696.470000000000027284841053187847137451171875,3.392940000000000054569682106E-15,3.392940000000000054569682106E-15,1797196.378110056275149484933,0E-60,1.036581699160647165,0.000140610902472312030719884
