Timestamp,Vault,Chain,Address,Type,Month,APY,TVL
2022-01-31,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,jan/22,0.06005297262295883,8891664.5480925
2022-07-31,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,jul/22,,1522059.8756457937
2021-01-31,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,jan/21,,
2022-03-31,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,mar/22,0.029200226398204743,5665759.14651361
2021-06-30,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,jun/21,0.22899337129509756,53111229.0826824
2021-10-31,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,oct/21,0.26109676499705414,24572030.413144868
2022-04-30,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,apr/22,0.017064499891688456,4336334.109194455
2021-02-28,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,feb/21,,
2021-12-31,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,dec/21,0.09923307271621562,26336204.101350643
2022-05-31,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,may/22,0.012782612946887983,2600360.301489053
2021-05-31,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,may/21,,15841728.936006838
2021-11-30,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,nov/21,0.2011393524304308,28260446.10853315
2021-03-31,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,mar/21,,
2022-06-30,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,jun/22,,1808351.91209398
2021-07-31,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,jul/21,0.10998358383437079,38114333.9283112
2022-08-31,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,aug/22,,1423267.53339007
2021-08-31,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,aug/21,0.10386235381413544,23863080.669741865
2021-09-30,yvCurve-EURS 0.3.5 - ETH,ETH,0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A,Stable,sep/21,0.08050030927705598,19426922.755950578
