Vault,Chain,Type,Month,Month Return (%),Cumulative Return (%),AUM ($),AUM Size, Total Debt, Total Gains
yvCurve-UST 0.4.3 - ETH,ETH,Stable,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-HUSD 0.3.5 - ETH,ETH,Stable,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-EURT 0.4.3 - ETH,ETH,Stable,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-ibAUD-USDC 0.4.3 - ETH,ETH,Other,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-ankrETH 0.3.5 - ETH,ETH,ETH,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-CVXETH 0.4.3 - ETH,ETH,Altcoin,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-d3pool 0.4.3 - ETH,ETH,Other,dec/20,0,0.0,0,Under $10 million,0,0
yvDAI 0.3.0 - ETH,ETH,Stable,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-UST 0.3.5 - ETH,ETH,Stable,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-ibAUD 0.4.3 - ETH,ETH,Iron Bank,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-tBTC 0.3.5 - ETH,ETH,BTC,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-EURS 0.3.5 - ETH,ETH,Stable,dec/20,0,0.0,0,Under $10 million,0,0
st-yCRV 0.4.3 - ETH,ETH,Other,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-IronBank 0.3.2 - ETH,ETH,Altcoin,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-USDT 0.3.5 - ETH,ETH,Stable,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-RAI 0.4.3 - ETH,ETH,Other,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-MIM 0.4.3 - ETH,ETH,Stable,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-GUSD 0.3.5 - ETH,ETH,Stable,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-ibCHF-USDC 0.4.3 - ETH,ETH,Other,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-DUSD 0.3.5 - ETH,ETH,Stable,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-STG-USDC 0.4.3 - ETH,ETH,Other,dec/20,0,0.0,0,Under $10 million,0,0
yvLUSD 0.4.3 - ETH,ETH,Stable,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-Aave 0.3.5 - ETH,ETH,Altcoin,dec/20,0,0.0,0,Under $10 million,0,0
yvUSDT 0.4.3 - ETH,ETH,Other,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-USDN 0.3.5 - ETH,ETH,Stable,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-USDK 0.3.5 - ETH,ETH,Stable,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-triCrypto 0.4.2 - ETH,ETH,Other,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-pBTC 0.3.5 - ETH,ETH,BTC,dec/20,0,0.0,0,Under $10 million,0,0
yvBalancer-BoostedAaveUSD 0.4.3 - ETH,ETH,Other,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-cvxCRV 0.4.3 - ETH,ETH,Altcoin,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-ibCHF 0.4.3 - ETH,ETH,Iron Bank,dec/20,0,0.0,0,Under $10 million,0,0
yvCOMP 0.4.3 - ETH,ETH,Altcoin,dec/20,0,0.0,0,Under $10 million,0,0
yUSD 0.3.5 - ETH,ETH,Stable,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-ibKRW 0.4.3 - ETH,ETH,Iron Bank,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-ibJPY 0.4.3 - ETH,ETH,Iron Bank,dec/20,0,0.0,0,Under $10 million,0,0
yvCurve-ibGBP 0.4.3 - ETH,ETH,Iron Bank,dec/20,0,0.0,0,Under $10 million,0,0
